,AE_latent_0,AE_latent_1,AE_latent_2,AE_latent_3,AE_latent_4,AE_latent_5,AE_latent_6,AE_latent_7,AE_latent_8,AE_latent_9,AE_latent_10,AE_latent_11,AE_latent_12,AE_latent_13,AE_latent_14,AE_latent_15,AE_latent_16,AE_latent_17,AE_latent_18,AE_latent_19,AE_latent_20,AE_latent_21,AE_latent_22,AE_latent_23,AE_latent_24,AE_latent_25,AE_latent_26,AE_latent_27,AE_latent_28,AE_latent_29,AE_latent_30,AE_latent_31,AE_latent_32,AE_latent_33,AE_latent_34,AE_latent_35,AE_latent_36,AE_latent_37,AE_latent_38,AE_latent_39,AE_latent_40,AE_latent_41,AE_latent_42,AE_latent_43,AE_latent_44,AE_latent_45,AE_latent_46,AE_latent_47,AE_latent_48,AE_latent_49,AE_latent_50,AE_latent_51,AE_latent_52,AE_latent_53,AE_latent_54,AE_latent_55,AE_latent_56,AE_latent_57,AE_latent_58,AE_latent_59,AE_latent_60,AE_latent_61,AE_latent_62,AE_latent_63,AE_latent_64,AE_latent_65,AE_latent_66,AE_latent_67,AE_latent_68,AE_latent_69,AE_latent_70,AE_latent_71,AE_latent_72,AE_latent_73,AE_latent_74,AE_latent_75,AE_latent_76,AE_latent_77,AE_latent_78,AE_latent_79,AE_latent_80,AE_latent_81,AE_latent_82,AE_latent_83,AE_latent_84,AE_latent_85,AE_latent_86,AE_latent_87
ACH-000242,0.79957116,3.1000838,-2.5033205,-0.010685202,-4.348347,0.020142099,7.0995092,-4.538309,2.3368313,1.1970972,0.32903543,-2.229403,-1.2927115,6.847914,-0.027173677,-0.057166263,-3.664322,-4.315751,4.9970937,-2.9353423,0.2056081,-3.3364954,1.2421366,0.98079306,0.10208977,1.0677379,2.4787748,4.664428,-3.4807553,-5.5177965,-10.448124,1.9372009,-0.63104206,5.257542,0.7347095,1.2391737,3.6214774,1.1201556,-1.0978436,7.5752306,0.7737871,-4.341574,-2.209793,1.2915713,3.664596,5.0724263,2.4885933,4.6765747,0.4046151,0.90317947,-3.6369553,6.1821346,0.022905791,2.126746,2.362202,-5.009756,-5.4121175,1.8042485,4.7019205,-2.2947073,-5.603954,0.29498643,-2.3729546,-0.88220334,4.3297005,-1.9348335,-5.1771393,2.130181,4.4398518,3.0162106,-1.8052657,-3.336037,-0.66791743,-1.742427,1.1947336,-0.07730073,-0.9692052,-0.11644316,0.6977986,-0.21061286,0.9817471,-2.0620952,1.4915706,0.4388122,3.0531225,-1.5621736,1.3089242,-0.27467954
ACH-000233,-0.036003605,-5.2430806,-13.696405,-0.40119472,-7.790251,-8.713765,-2.2253177,-2.3992963,-1.7493615,-0.8761472,3.1665797,-1.16239,7.452932,1.6815306,2.787604,6.5613685,0.9040367,-0.80638796,-0.7633503,6.2438874,-0.08471618,1.3064295,4.703605,-4.592641,0.90795434,1.6463317,0.6792259,-3.3978593,5.1937766,2.0302968,2.7836132,2.1403706,0.51302475,-0.39470273,2.7317948,-1.6902286,-7.611907,-1.4348801,0.11635229,-1.1563196,1.4488603,5.0106344,9.616422,-0.11349707,0.08695582,3.388178,4.3259087,-4.0330844,1.3096819,4.912863,-1.4345202,-4.147221,-1.6283885,5.1002846,-1.1979686,4.060104,0.098523915,2.4596791,-3.2922044,0.3724008,-1.004104,-1.1450077,5.339775,0.8143205,-5.6307864,-1.7575986,9.051394,1.6908227,7.232464,1.9793707,-10.617872,-4.5940547,0.038231403,-0.5293113,-1.7464095,1.8720365,-3.1705298,-2.4210465,1.6688386,-0.7170042,-0.28559983,-0.3446324,2.5514872,-1.4521859,-2.435452,1.3945326,1.5555413,2.635289
ACH-001655,8.23524,5.4565268,-7.346864,2.728355,-9.284869,6.731721,1.0066462,0.39962938,-2.853622,-5.10719,5.1703057,4.9975095,-2.995145,-0.53652585,4.0632687,3.2483737,0.06480752,0.5706512,1.0210185,4.4660273,-0.02225796,-1.6807208,2.5278351,-4.056732,-2.8699658,4.110021,-7.3698444,-2.4206197,5.85351,-0.7525325,-2.2573104,-1.1724824,-7.2708406,0.70508575,0.14890608,-0.22470406,-2.5205376,-3.9700086,-1.8702631,-3.029478,5.344004,-1.5015637,9.594438,5.679795,-4.7431636,8.420877,1.5538697,3.5508962,1.6102891,-0.24602531,-0.40679926,3.3030667,3.3091881,2.0444796,-1.5823741,2.1764853,-0.13186987,3.0436351,1.540338,-2.236535,4.3225403,-3.219783,2.5691557,-0.06890129,-0.9181489,0.59143984,7.353953,-0.21570824,1.7522482,0.4273782,1.1679713,8.757575,-4.8654904,0.0070358813,-2.9667444,0.35117155,1.8967052,-5.525048,-2.2529938,-3.1125152,-1.6264622,-3.0311556,3.8655913,2.3174443,-0.23665494,-0.8963808,6.6535506,-3.4631052
ACH-000792,9.290836,7.067263,-10.60092,-7.3184323,-6.438448,2.700925,4.110185,-4.597243,0.1304943,1.1942095,1.9897461,1.0522585,0.99939835,6.1038337,1.1837692,4.510532,0.5529176,-0.44415402,-0.9633058,3.9398298,2.6699307,1.6418934,3.0136678,-6.1051397,-3.7380989,-2.149824,-3.6389081,-5.1633763,7.9525204,-1.5528854,-2.1121953,-0.5899918,-5.0142937,2.1486056,-0.8327784,1.8218013,-0.74604255,-4.5856395,-2.7470934,0.7784778,7.7106113,2.361109,7.0818076,3.0523403,4.29869,2.1440706,-2.4532542,3.2749913,-1.128953,0.9839047,1.8710972,-1.6179045,0.88885736,8.163887,-1.9774231,1.2902575,5.268707,0.7372911,0.8628444,-6.254901,0.3120454,-5.7286305,-0.70642155,-1.5385134,-2.9452074,1.7058274,1.336485,-0.71768165,5.4870596,6.1028786,-4.2866044,4.932033,-1.8670635,-0.37017632,-1.2595441,1.7322061,1.1272383,-5.2813215,0.017966062,-1.2861639,-2.7412794,-1.101901,3.7808893,1.3956821,-0.1947451,-2.196188,3.138483,-2.394941
ACH-000351,7.8679023,2.684877,-12.8439,1.7004502,-8.637157,-0.5850878,-3.0810246,3.3720965,1.0233492,1.6023922,3.1439154,-4.8486776,2.0962381,0.37355176,-2.5019324,0.76843756,-2.0906017,-2.420816,3.610355,2.2236645,-0.40541813,4.7013073,-1.6570526,1.6589624,3.7064736,-2.603455,-4.688816,-3.9377816,4.4797235,1.9491879,3.739954,-3.645707,-1.66796,1.9589747,-2.2968202,1.91206,5.663895,-3.6376748,3.6356692,2.884665,8.584961,0.61602634,3.1176634,-2.6846936,-2.7501867,4.5191584,-5.448594,-0.15638913,6.922578,-3.3282466,3.9178803,3.0535474,2.5133083,5.1514487,-1.4771612,4.0007486,-2.2683947,-3.842514,1.5756087,0.7284698,-0.7968198,-1.875504,-3.1030314,4.1328993,-4.6812997,-0.18571325,-1.1887629,-5.2268295,-0.36739728,3.7831588,2.5292306,2.978362,0.679885,0.8839117,1.0210164,-0.42133886,-0.10120723,-2.5246263,-0.75995696,1.0174685,-0.5948903,-2.1663847,3.8314574,-1.0461894,1.2683712,0.77014506,2.6285384,0.018823981
ACH-000769,1.8238691,3.730822,-4.813816,-1.2360713,-0.92543316,-2.442757,-0.8746275,-0.91667336,0.5803918,0.52947456,-6.4202285,-7.9234414,-3.158601,3.5187685,2.0604,2.5023186,-1.0569335,-6.600192,0.5058409,-2.089579,0.24576774,3.208548,-0.14210963,-0.9205797,-4.7707686,-0.13543569,-1.7686458,6.7429395,2.677674,-0.9272183,-7.5303106,-1.7253807,5.316503,0.043356497,-3.2335653,-4.1615906,2.5526552,3.4516168,1.0842792,-2.0557675,-1.3898323,-7.1972413,-1.1048272,-1.7486079,-0.542633,5.6745496,2.7545838,0.64511836,-2.6707757,0.13713394,3.456088,7.598697,-1.9948641,-5.3148537,6.1677923,-5.075874,0.9921886,-1.5078703,2.704672,-1.5462921,-3.1403828,-3.6280777,-2.1784818,-4.300282,5.1432157,-1.4110415,-2.5469732,1.4947499,-0.14656559,-6.4446335,6.9105263,2.1743815,-1.3479931,-0.46484226,1.253068,-1.6619241,-2.970908,-0.5615914,-0.9116849,-0.9669379,1.1120743,-3.9440236,0.7192832,1.1863914,0.8412243,-0.15105835,-2.5680416,-1.106868
ACH-000828,-4.0376062,-1.0589241,-4.9876313,0.12878767,-4.4542017,0.6528992,-0.6749294,0.54043305,0.2807528,-0.30223238,1.280048,6.8876486,5.947232,2.0899966,-2.3036706,-3.9310505,-5.682252,-3.798892,0.524525,-1.1320866,-1.8119063,-6.6544247,-2.4546494,2.7637486,1.6349604,3.112099,5.3570433,1.620488,1.3604913,-5.276509,-6.315157,-0.9890838,-2.2962134,-1.0981407,0.369043,-4.920029,4.9895406,2.1353257,-2.7751625,4.1928806,-3.9231372,-3.8321338,-5.0244184,1.9097593,4.3931947,2.6649246,2.9707885,2.4675326,2.620886,-2.136333,-2.3181295,2.1938431,3.6096365,1.4161425,-0.32704553,0.13465407,-1.7799331,0.64783067,7.083961,1.0590589,-2.6453142,2.431855,2.0291963,0.94557565,5.3863573,3.6076324,-2.6261153,2.0701551,-4.1692066,2.4287918,-2.7486691,-5.6679263,-1.6019146,1.1730971,1.2466046,-1.663167,-1.5950937,1.8548867,-0.92287076,-0.63189733,1.8017612,-0.8847791,3.982352,-1.6298671,0.76431,-1.9558871,1.9707096,0.83199376
ACH-000421,-3.3187463,6.670108,-3.342644,-5.735887,-0.03938113,3.4250755,1.4322723,0.1297745,0.29128554,0.031370126,-0.15686059,-4.6169205,0.37789968,0.30234167,-1.3331532,1.4768574,-1.7986121,-4.1880093,1.7615536,3.5251522,-2.3079805,5.671525,-3.4478123,-0.61608744,-1.8809139,-4.4565864,-3.7168722,1.5354654,0.10762897,-0.7687111,0.8119721,-5.45904,-0.5118457,0.69544667,-1.924789,-0.088493936,4.1335826,-1.5989593,2.7412858,4.390532,3.9736774,-2.3416202,-1.4242089,-1.8933457,-2.6406085,0.85494125,-1.8516884,0.5123682,0.9731416,1.6192651,0.9850574,4.0299044,2.0299306,1.2052362,-1.9026144,1.0768896,1.6472174,-4.1606927,1.9531846,1.6930416,-5.027815,-1.738139,-5.568764,2.4979532,-0.2718605,-1.6867822,-3.7414734,-0.125518,-2.9321773,4.907444,3.0147197,-2.4957063,0.24162802,-2.5281699,2.0340772,0.4305645,-1.3764842,-0.95929205,0.3932924,0.809582,1.5461298,-1.5976706,1.0300714,1.1717277,2.216059,-1.4733329,1.474652,0.016377687
ACH-000008,-1.4336411,3.8671126,-8.559921,-6.8218784,-2.0414433,1.059991,-2.999659,2.7267456,0.34258717,2.6703844,2.3480678,-1.2162508,-4.1113105,0.70095176,-0.7480069,-5.6096945,1.8158079,1.2853897,-3.203537,2.3985095,-0.7309307,3.6331809,-2.6140683,0.21023004,0.4754316,-0.978062,-6.781709,-0.1664513,1.1352402,2.268847,-2.859786,-1.2219718,-3.715255,-1.1675587,2.2005973,-0.90976256,3.875668,-1.8192441,-4.1588254,-3.1430566,7.349103,-0.6480579,3.731123,-0.177113,-4.6975174,2.2640667,-4.410072,3.6382163,-0.28477338,-5.036766,1.3759823,1.4060688,-1.2514601,3.1411793,0.098634936,1.2835115,1.0245835,-0.64659286,-2.8477442,-2.618952,2.1008506,-2.3311803,3.5917253,-0.0884752,1.4131501,4.8913746,0.77912664,-5.8429527,-0.5830938,0.2385272,1.1837343,3.2701387,-1.5892994,0.6998011,-3.0140896,1.3379979,-0.10115278,-2.865074,-0.14820303,-2.6646369,-2.2052333,-3.0487103,1.7691429,-0.2268587,0.5239787,0.44927084,0.63199866,0.34754705
ACH-000800,0.6392008,3.426702,-11.5324135,-3.2369711,-4.6838174,-4.8932996,-1.9687241,-1.685622,-1.1604364,0.39952102,-2.5905685,1.6754972,-8.864918,-7.3791294,7.2634406,-3.6642783,6.172262,2.6030388,4.304616,-9.805511,2.3285613,0.84548175,13.096822,7.051088,-0.5826439,2.2090094,-1.0542315,4.1594405,5.3990965,1.7240406,-1.3243318,-2.112263,-4.170907,0.043306645,-6.844982,-7.3306293,-5.1576605,-3.3357463,-4.1334996,2.4108498,9.16709,-7.137141,13.912219,6.4842796,-2.1970973,-2.6683376,-5.609232,1.3612705,4.300628,2.265008,0.9091663,1.2336882,-9.194783,5.25441,3.2499878,4.576613,-2.738434,-0.10897255,-6.700064,5.5056906,7.3470917,-1.8984541,5.2706366,2.6676674,-2.1578994,0.31814566,0.21532701,-9.397222,-7.3408747,-11.15343,2.8532526,3.9333897,-2.0654292,0.0846854,1.2442313,-1.3147559,-1.0937259,-0.14752437,-1.9733719,0.7672293,1.9323994,-3.082429,0.44057134,0.49408066,-1.9891613,1.6645432,-2.0958433,-0.24128288
